Model,Mileage,year,dealer_name,Price
Model S,"46,826 Miles",2018,Daly City Mitsubishi,"$60,386"
Model X,"23,750 Miles",2017,North State Auto Sales,"$99,000"
Model Y,"7,479 Miles",2022,Serramonte Subaru Volkswagen,"$74,595"
Model 3,"8,492 Miles",2021,Capitol Hyundai,"$51,700"
Model 3,"26,189 Miles",2019,Shift SF - Test Drives Delivered To You,"$46,950"
Model X,"47,878 Miles",2018,AutoLinx Inc.,"$75,998"
Model S,"26,782 Miles",2019,CarMax Pleasanton - Now Open,"$86,998"
Model 3,"31,865 Miles",2018,AutoLinx Inc.,"$61,988"
Model S,"45,188 Miles",2018,Manly Honda,"$61,000"
Model Y,"3,470 Miles",2022,Nissan Of Vacaville,"$81,990"
Model S,"48,581 Miles",2016,INFINITI Of Marin,"$62,990"
Model X,"48,207 Miles",2018,Winn Volkswagen,"$77,949"
Model S,"44,918 Miles",2018,AutoLinx Inc.,"$62,988"
Model 3,"25,705 Miles",2019,Shift SF - Test Drives Delivered To You,"$52,950"
Model 3,"7,981 Miles",2021,M Sport Motors,"$72,998"
Model X,"25,720 Miles",2018,Nissan Of Vacaville,"$86,990"
Model 3,"18,114 Miles",2019,Shift SF - Test Drives Delivered To You,"$47,950"
Model S,"58,466 Miles",2013,North State Auto Sales,"$48,900"
